用例编号,模块,标题,前置条件,步骤,预期结果,优先级
TT-CONFIG-001,后台配置,新增 TikTok 配置成功,已登录后台且有配置权限,"1. 点击新增TikTok配置;2. 输入Pixel ID/渠道名称/Token/备注;3. 点击保存","保存成功提示;列表出现新配置;数据库新增记录字段正确",P0
TT-CONFIG-002,后台配置,Pixel ID 为空校验,已进入新增页面,"1. Pixel ID留空;2. 输入其他字段;3. 点击保存","前端提示必填;无法保存或接口返回参数错误",P0
TT-CONFIG-003,后台配置,渠道名称为空校验,已进入新增页面,"1. 渠道名称留空;2. 输入其他字段;3. 点击保存","前端提示必填;无法保存",P0
TT-CONFIG-004,后台配置,Access Token 为空校验,已进入新增页面,"1. Token留空;2. 输入其他字段;3. 点击保存","前端提示必填;无法保存",P0
TT-CONFIG-005,后台配置,渠道名称长度=30边界校验,已进入新增页面,"1. 输入30字符渠道名称;2. 填写其他字段;3. 保存","保存成功",P1
TT-CONFIG-006,后台配置,渠道名称长度>30校验,已进入新增页面,"1. 输入31字符渠道名称;2. 填写其他字段;3. 保存","前端提示超长或保存失败",P0
TT-CONFIG-007,后台配置,Pixel ID 输入非数字校验,已进入新增页面,"1. Pixel ID输入abc123;2. 填写其他字段;3. 保存","若限定数字则提示格式错误;若允许则保存成功并可正常上报",P1
TT-CONFIG-008,后台配置,Token 前后空格处理,已进入新增页面,"1. Token输入含前后空格;2. 保存","系统自动trim;保存后token可用",P1
TT-CONFIG-009,后台配置,渠道名称重复校验,已存在渠道名称配置,"1. 新增配置渠道名称与已有相同;2. 保存","若要求唯一则提示重复;若允许则保存成功且配置不冲突",P1
TT-CONFIG-010,后台配置,Pixel ID 重复校验,已存在Pixel ID配置,"1. 新增配置Pixel ID与已有相同;2. 保存","根据业务规则:禁止重复则报错;允许则保存成功",P2
TT-CONFIG-011,后台配置,保存后列表展示正确,已新增配置,"1. 返回列表页;2. 查看字段展示","Pixel ID/渠道名称展示正确;Token脱敏显示;备注正常",P1
TT-CONFIG-012,后台配置,Token 是否脱敏展示,已新增配置,"1. 查看配置列表Token字段;2. 进入详情或编辑页查看","列表不显示明文token;编辑页显示受控",P0
TT-CONFIG-013,后台配置,编辑 TikTok 配置成功,已存在配置,"1. 点击编辑;2. 修改Token或备注;3. 保存","保存成功;数据库更新;新Token立即生效",P0
TT-CONFIG-014,后台配置,删除 TikTok 配置成功,已存在配置,"1. 点击删除;2. 二次确认","删除成功;列表消失;数据库记录删除或置无效",P1
TT-CONFIG-015,后台配置,删除配置后事件不再上报,配置已删除,"1. 触发注册或充值事件;2. 查看日志","系统不再调用TikTok API;日志提示未配置",P0
TT-CONFIG-016,后台配置,批量添加配置成功,有批量导入功能,"1. 批量导入多条配置;2. 提交","正确数据导入成功;列表展示正确",P2
TT-CONFIG-017,后台配置,批量导入包含非法数据处理,有批量导入功能,"1. 导入含空字段/超长渠道名数据;2. 提交","非法数据提示失败原因;合法数据可成功导入",P2
TT-CONFIG-018,后台配置,无权限用户无法新增配置,测试账号无权限,"1. 登录无权限账号;2. 尝试新增/编辑/删除","页面按钮不可见或接口返回403;无操作权限",P0
TT-CONFIG-019,后台配置,配置操作日志记录,系统支持操作日志,"1. 新增配置;2. 编辑配置;3. 删除配置;4. 查询操作日志","日志记录操作人/时间/变更内容",P2
TT-EVENT-001,埋点上报,注册成功触发 CompleteRegistration 上报,TikTok配置有效且可注册用户,"1. 注册新用户成功;2. 查看服务日志或抓包","系统调用TikTok Events API;event_name=CompleteRegistration;返回success",P0
TT-EVENT-002,埋点上报,注册失败不触发 CompleteRegistration,TikTok配置有效,"1. 模拟注册失败;2. 查看日志","不调用TikTok Events API;无CompleteRegistration事件",P0
TT-EVENT-003,埋点上报,首次充值成功触发 Subscribe 上报,TikTok配置有效且用户已注册,"1. 用户首次充值成功;2. 查看日志或抓包","调用TikTok API;event_name=Subscribe;返回success",P0
TT-EVENT-004,埋点上报,充值成功触发 Purchase 上报,TikTok配置有效且用户已注册,"1. 用户充值成功;2. 查看日志","调用TikTok API;event_name=Purchase;返回success",P0
TT-EVENT-005,埋点上报,多次充值 Purchase 上报次数正确,TikTok配置有效,"1. 用户连续充值2次成功;2. 查看日志","Purchase事件上报2次;金额与订单对应",P0
